Bank,Year,Month,Media Category,dollars
US Bank,2023,October 2023,Audio,223123
US Bank,2023,October 2023,Digital,372302
US Bank,2023,October 2023,Outdoor,144891
US Bank,2023,October 2023,Print,12291
US Bank,2023,October 2023,Television,351991
US Bank,2023,September 2023,Audio,382013
US Bank,2023,September 2023,Digital,812441
US Bank,2023,September 2023,Outdoor,207883
US Bank,2023,September 2023,Print,22950
US Bank,2023,September 2023,Television,6188023
US Bank,2025,March 2025,Audio,0
US Bank,2025,March 2025,Digital,251538
US Bank,2025,March 2025,Television,3849086
Wells Fargo,2023,April 2023,Audio,14988
Wells Fargo,2023,April 2023,Digital,4706426
Wells Fargo,2023,April 2023,Outdoor,10873
Wells Fargo,2023,April 2023,Print,272
Wells Fargo,2023,April 2023,Television,8530120
Wells Fargo,2023,August 2023,Audio,488182
Wells Fargo,2023,August 2023,Digital,2865152
Wells Fargo,2023,August 2023,Outdoor,91705
Wells Fargo,2023,August 2023,Print,9215
Wells Fargo,2023,August 2023,Television,13894322
Wells Fargo,2023,December 2023,Audio,825914
Wells Fargo,2023,December 2023,Digital,4869392
Wells Fargo,2023,December 2023,Outdoor,45892
Wells Fargo,2023,December 2023,Print,105880
Wells Fargo,2023,December 2023,Television,6254096
Wells Fargo,2023,February 2023,Audio,665119
Wells Fargo,2023,February 2023,Digital,3142865
Wells Fargo,2023,February 2023,Television,3466941
Wells Fargo,2023,July 2023,Audio,1444069
Wells Fargo,2023,July 2023,Digital,3940256
Wells Fargo,2023,July 2023,Outdoor,24871
Wells Fargo,2023,July 2023,Print,12444
Wells Fargo,2023,July 2023,Television,6057772
Wells Fargo,2023,June 2023,Audio,1176197
Wells Fargo,2023,June 2023,Digital,2391970
Wells Fargo,2023,June 2023,Outdoor,39472
Wells Fargo,2023,June 2023,Print,8882
Wells Fargo,2023,June 2023,Television,6281032
Wells Fargo,2023,March 2023,Audio,2012478
Wells Fargo,2023,March 2023,Digital,1708254
Wells Fargo,2023,March 2023,Outdoor,10414
Wells Fargo,2023,March 2023,Print,13025
Wells Fargo,2023,March 2023,Television,2876384
